City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Port Alfred,ZA,2021-12-08 03:26:21,-33.5906,26.891,65.91,85,96,10.02
68,Kamaishi,JP,2021-12-08 03:26:21,39.2667,141.8833,50.95,84,100,18.45
69,Desaguadero,PE,2021-12-08 03:26:22,-16.5656,-69.0417,46.26,82,100,5.21
70,Cape Canaveral,US,2021-12-08 03:26:22,28.4058,-80.6048,69.04,91,1,4.61
71,Nago,JP,2021-12-08 03:26:22,26.5881,127.9761,72.03,52,79,17.02
72,Severo-Kurilsk,RU,2021-12-08 03:26:23,50.6789,156.125,31.15,61,93,19.86
73,Khatanga,RU,2021-12-08 03:26:23,71.9667,102.5,-7.22,95,100,14.7
74,Sinnamary,GF,2021-12-08 03:26:23,5.3833,-52.95,77.67,88,95,4.34
75,Poronaysk,RU,2021-12-08 03:26:24,49.2167,143.1167,27.5,74,7,4.76
76,Mastic Beach,US,2021-12-08 03:26:24,40.7668,-72.8521,40.01,62,1,1.01
77,Berlevag,NO,2021-12-08 03:26:25,70.8578,29.0864,18.01,68,6,21.63
78,Benjamin Constant,BR,2021-12-08 03:26:25,-4.3831,-70.0311,73.35,98,95,0.65
79,Teacapan,MX,2021-12-08 03:26:25,22.55,-105.75,72.88,71,89,5.68
80,Grand Gaube,MU,2021-12-08 03:26:26,-20.0064,57.6608,81.0,69,18,8.99
81,Galveston,US,2021-12-08 03:26:26,29.3669,-94.9669,64.99,90,5,1.01
82,Necochea,AR,2021-12-08 03:26:26,-38.5473,-58.7368,67.03,66,2,15.97
83,Bluff,NZ,2021-12-08 03:26:27,-46.6,168.3333,62.8,62,90,5.61
84,Kavieng,PG,2021-12-08 03:26:27,-2.5744,150.7967,82.71,80,100,13.49
85,Baijiantan,CN,2021-12-08 03:26:27,45.6333,85.1833,33.48,63,100,2.71
86,Tromso,NO,2021-12-08 03:25:02,69.6496,18.957,21.22,53,0,16.11
87,Victoria Point,AU,2021-12-08 03:26:28,-27.5833,153.3,88.52,69,100,1.99
88,Nyurba,RU,2021-12-08 03:26:28,63.2842,118.3319,-28.26,99,66,1.21
89,Jamestown,US,2021-12-08 03:24:57,42.097,-79.2353,26.19,84,1,1.99
90,Ugoofaaru,MV,2021-12-08 03:27:28,5.6667,73.0,82.87,74,18,12.71
91,Victor Harbor,AU,2021-12-08 03:27:29,-35.5667,138.6167,66.9,61,67,1.99
92,Sao Jose Da Coroa Grande,BR,2021-12-08 03:27:29,-8.8978,-35.1478,78.33,76,86,9.35
93,Gat,IL,2021-12-08 03:27:29,31.61,34.7642,56.91,37,0,15.35
94,Ponta Do Sol,PT,2021-12-08 03:27:30,32.6667,-17.1,62.01,72,89,2.35
95,Warrington,GB,2021-12-08 03:25:56,53.3925,-2.5802,41.99,89,90,1.99
96,Arraial Do Cabo,BR,2021-12-08 03:27:30,-22.9661,-42.0278,71.83,80,100,7.83
97,Alice Springs,AU,2021-12-08 03:27:31,-23.7,133.8833,85.55,30,2,11.5
98,Lensk,RU,2021-12-08 03:27:31,60.7253,114.9278,15.44,96,100,1.43
99,Tiarei,PF,2021-12-08 03:27:31,-17.5333,-149.3333,78.82,73,29,5.82
100,Chimbote,PE,2021-12-08 03:27:32,-9.0853,-78.5783,65.61,90,86,6.96
101,Vila Velha,BR,2021-12-08 03:27:32,-20.3297,-40.2925,71.55,87,75,8.01
102,Divo,CI,2021-12-08 03:27:32,5.8397,-5.36,72.37,97,56,1.81
103,Cabo San Lucas,MX,2021-12-08 03:26:37,22.8909,-109.9124,75.51,72,1,0.0
104,Thinadhoo,MV,2021-12-08 03:27:33,0.5333,72.9333,81.63,80,100,10.42
105,Dingle,PH,2021-12-08 03:27:33,10.9995,122.6711,75.7,89,100,13.53
106,Saint-Francois,FR,2021-12-08 03:27:33,46.4154,3.9054,42.67,88,0,3.44
107,Portland,US,2021-12-08 03:25:19,45.5234,-122.6762,55.85,95,90,3.0
108,Fort Dodge,US,2021-12-08 03:27:34,42.4975,-94.168,25.45,79,1,6.91
109,Saquena,PE,2021-12-08 03:27:34,-4.6667,-73.5167,72.81,98,89,1.21
110,Taltal,CL,2021-12-08 03:27:35,-25.4,-70.4833,64.6,76,27,3.65
111,Srednekolymsk,RU,2021-12-08 03:27:35,67.45,153.6833,-24.9,98,100,4.38
112,Chokurdakh,RU,2021-12-08 03:27:35,70.6333,147.9167,-42.54,100,56,3.71
113,Salalah,OM,2021-12-08 03:27:36,17.0151,54.0924,73.49,27,0,8.05
114,Puerto Ayora,EC,2021-12-08 03:27:36,-0.7393,-90.3518,67.95,88,39,6.62
115,Broome,US,2021-12-08 03:27:36,42.2506,-75.833,31.84,74,90,1.99
116,Pevek,RU,2021-12-08 03:27:37,69.7008,170.3133,-24.23,100,100,2.55
117,Guane,CU,2021-12-08 03:27:37,22.2025,-84.0875,73.67,86,0,3.98
118,Ouesso,CG,2021-12-08 03:27:37,1.6136,16.0517,70.86,98,78,2.64
119,Pangnirtung,CA,2021-12-08 03:27:38,66.1451,-65.7125,-4.88,83,17,7.07
120,Saint-Joseph,RE,2021-12-08 03:27:38,-21.3667,55.6167,77.38,72,8,10.31
121,Buchanan,LR,2021-12-08 03:27:39,5.8808,-10.0467,78.78,86,11,4.25
122,Libreville,GA,2021-12-08 03:27:39,0.3925,9.4537,77.94,89,100,8.39
123,Bam,IR,2021-12-08 03:27:40,29.106,58.357,50.09,33,0,4.83
124,Longyearbyen,SJ,2021-12-08 03:27:40,78.2186,15.6401,30.04,69,75,18.41
125,Lazaro Cardenas,MX,2021-12-08 03:27:40,17.9583,-102.2,75.76,80,32,3.91
126,Gwanda,ZW,2021-12-08 03:27:41,-20.9333,29.0,68.11,89,91,9.64
127,Hamilton,US,2021-12-08 03:22:47,39.1834,-84.5333,28.02,78,90,1.99
128,Teguise,ES,2021-12-08 03:27:41,29.0605,-13.564,59.22,88,97,10.36
129,Limbang,MY,2021-12-08 03:27:41,4.75,115.0,87.91,65,37,1.68
130,Burnie,AU,2021-12-08 03:24:42,-41.0667,145.9167,59.97,42,84,8.08
131,Ancud,CL,2021-12-08 03:27:42,-41.8697,-73.8203,56.73,93,3,4.27
132,Sao Joao Da Barra,BR,2021-12-08 03:26:11,-21.6403,-41.0511,70.29,86,100,8.16
133,Sigiriya,LK,2021-12-08 03:27:42,7.9518,80.7426,77.34,80,20,3.74
134,La Orilla,MX,2021-12-08 03:28:43,17.9833,-102.2333,74.91,82,35,4.05
135,Krasnoselkup,RU,2021-12-08 03:28:43,65.7,82.4667,-13.32,100,89,6.22
136,Upernavik,GL,2021-12-08 03:28:43,72.7868,-56.1549,13.14,95,100,4.56
137,Artesia,US,2021-12-08 03:28:44,33.8658,-118.0831,61.57,87,1,3.44
138,Hami,CN,2021-12-08 03:28:44,42.8,93.45,29.34,56,2,4.72
139,Deputatskiy,RU,2021-12-08 03:28:44,69.3,139.9,-33.47,93,100,4.45
140,Dalvik,IS,2021-12-08 03:28:44,65.9702,-18.5286,21.13,65,58,9.22
141,Los Llanos De Aridane,ES,2021-12-08 03:28:45,28.6585,-17.9182,61.12,83,90,11.99
142,Kasamwa,TZ,2021-12-08 03:28:45,-2.85,32.4333,65.35,72,59,2.75
143,Rio Gallegos,AR,2021-12-08 03:25:48,-51.6226,-69.2181,42.85,45,20,10.36
144,Vaini,TO,2021-12-08 03:28:46,-21.2,-175.2,80.76,83,90,6.91
145,Bismarck,US,2021-12-08 03:25:02,46.8083,-100.7837,17.82,85,75,4.61
146,Baiyin,CN,2021-12-08 03:28:46,36.5583,104.2081,34.68,48,98,8.12
147,Ibra,OM,2021-12-08 03:28:46,22.6906,58.5334,63.5,79,0,3.22
148,Green Valley,US,2021-12-08 03:28:47,31.8543,-110.9937,63.01,31,22,8.19
149,Ambilobe,MG,2021-12-08 03:28:47,-13.2,49.05,71.73,78,32,3.27
150,Nikolskoye,RU,2021-12-08 03:28:47,59.7035,30.7861,10.29,100,93,3.33
151,Port-Gentil,GA,2021-12-08 03:28:48,-0.7193,8.7815,79.25,85,100,8.48
152,Hualmay,PE,2021-12-08 03:28:48,-11.0964,-77.6139,66.76,89,97,10.36
153,Nome,US,2021-12-08 03:28:48,64.5011,-165.4064,-0.33,78,1,3.44
154,Sola,VU,2021-12-08 03:28:49,-13.8833,167.55,82.42,69,100,3.56
155,Port Lincoln,AU,2021-12-08 03:28:49,-34.7333,135.8667,62.02,47,14,15.9
156,Luwuk,ID,2021-12-08 03:28:49,-0.9516,122.7875,84.11,75,100,0.43
157,Kande,TG,2021-12-08 03:28:50,9.9578,1.0447,68.34,26,88,3.53
158,Zhigansk,RU,2021-12-08 03:28:50,66.7697,123.3711,-24.83,97,100,15.05
159,Saint-Pierre,RE,2021-12-08 03:24:29,-21.3393,55.4781,78.48,72,0,5.75
160,Marienburg,PL,2021-12-08 03:28:51,54.0359,19.0266,21.11,87,52,7.43
161,Point Pleasant,US,2021-12-08 03:28:51,40.0832,-74.0682,39.0,64,1,1.99
162,Zhangjiakou,CN,2021-12-08 03:28:51,40.81,114.8794,35.65,31,100,2.15
163,Ilulissat,GL,2021-12-08 03:28:52,69.2167,-51.1,10.42,56,72,3.44
164,Barkhan,PK,2021-12-08 03:28:52,29.8977,69.5256,48.4,37,0,3.0
165,Ust-Tsilma,RU,2021-12-08 03:25:53,65.441,52.1498,-8.03,100,70,2.95
166,Pisco,PE,2021-12-08 03:28:52,-13.7,-76.2167,66.25,82,0,14.97
167,Olafsvik,IS,2021-12-08 03:28:53,64.8945,-23.7142,34.11,60,4,7.38
168,Praia,CV,2021-12-08 03:28:53,14.9215,-23.5087,72.14,83,0,17.27
169,Almaznyy,RU,2021-12-08 03:28:53,48.0448,40.045,42.94,89,100,16.28
170,Gaozhou,CN,2021-12-08 03:28:54,21.9392,110.8461,70.39,49,95,4.74
171,North Bend,US,2021-12-08 03:28:54,43.4065,-124.2243,51.93,97,90,3.44
172,Aksarka,RU,2021-12-08 03:26:01,66.5606,67.7975,-1.93,90,58,9.98
173,Sept-Iles,CA,2021-12-08 03:25:02,50.2001,-66.3821,11.05,62,20,15.01
174,Makat,KZ,2021-12-08 03:28:55,47.6469,53.3463,34.68,78,71,17.94
175,Tiksi,RU,2021-12-08 03:28:55,71.6872,128.8694,-20.92,94,100,8.12
176,Ust-Karsk,RU,2021-12-08 03:28:55,52.7011,118.8077,22.06,72,29,2.71
177,Agirish,RU,2021-12-08 03:28:56,61.9247,63.0231,-1.8,95,12,4.29
178,Esperance,AU,2021-12-08 03:28:56,-33.8667,121.9,76.84,44,97,16.02
179,Honningsvag,NO,2021-12-08 03:28:56,70.9821,25.9704,22.98,75,0,32.23
180,Makakilo City,US,2021-12-08 03:29:57,21.3469,-158.0858,77.32,75,1,3.44
181,Rajampet,IN,2021-12-08 03:29:57,14.1833,79.1667,76.84,78,5,2.42
182,Hvide Sande,DK,2021-12-08 03:29:57,56.0045,8.1294,37.69,86,100,33.73
183,Kerewan,GM,2021-12-08 03:29:58,13.4898,-16.0888,69.91,21,100,7.65
184,Lavrentiya,RU,2021-12-08 03:29:58,65.5833,-171.0,0.52,90,63,6.8
185,Booue,GA,2021-12-08 03:29:59,-0.0921,11.9385,73.17,97,100,1.72
186,Imbituba,BR,2021-12-08 03:29:59,-28.24,-48.6703,69.82,72,50,6.31
187,Mbandaka,CD,2021-12-08 03:29:59,0.0487,18.2603,70.61,95,100,5.86
188,Dumbea,NC,2021-12-08 03:30:00,-22.15,166.45,91.36,74,45,8.75
189,Bandarbeyla,SO,2021-12-08 03:25:18,9.4942,50.8122,72.99,72,40,16.37
190,Adrar,MR,2021-12-08 03:30:00,20.5022,-10.0711,61.09,19,100,12.01
191,Abha,SA,2021-12-08 03:30:00,18.2164,42.5053,46.22,31,0,0.0
192,Angoche,MZ,2021-12-08 03:30:01,-16.2325,39.9086,78.49,80,1,1.32
193,Puerto Del Rosario,ES,2021-12-08 03:30:01,28.5004,-13.8627,65.95,77,72,14.97
194,Provideniya,RU,2021-12-08 03:30:01,64.3833,-173.3,8.71,56,90,17.9
195,Butaritari,KI,2021-12-08 03:30:02,3.0707,172.7902,82.99,77,91,14.9
196,Brae,GB,2021-12-08 03:30:02,60.3964,-1.353,42.71,92,100,37.63
197,Tadine,NC,2021-12-08 03:30:03,-21.55,167.8833,82.42,73,59,6.15
198,Straumen,NO,2021-12-08 03:30:03,63.8709,11.2999,19.4,86,39,5.26
199,San Quintin,MX,2021-12-08 03:30:04,30.4833,-115.95,59.02,74,99,1.88
200,Tansen,NP,2021-12-08 03:30:05,27.8673,83.5467,61.41,46,0,1.41
